Run,BioProject,Sample
SRR1972704,PRJNA257197,SRS908691
SRR1972705,PRJNA257197,SRS908690
SRR1972706,PRJNA257197,SRS908689
SRR1972697,PRJNA257197,SRS908698
SRR1972698,PRJNA257197,SRS908697
SRR1972699,PRJNA257197,SRS908696
SRR1972700,PRJNA257197,SRS908695
SRR1972701,PRJNA257197,SRS908694
SRR1972692,PRJNA257197,SRS908703
SRR1972693,PRJNA257197,SRS908702
SRR1972694,PRJNA257197,SRS908701
SRR1972695,PRJNA257197,SRS908700
SRR1972696,PRJNA257197,SRS908699
SRR1972687,PRJNA257197,SRS908708
SRR1972688,PRJNA257197,SRS908706
SRR1972689,PRJNA257197,SRS908707
SRR1972690,PRJNA257197,SRS908705
SRR1972691,PRJNA257197,SRS908704
SRR1972686,PRJNA257197,SRS908709
SRR1972685,PRJNA257197,SRS908710
SRR1972684,PRJNA257197,SRS908711
SRR1972683,PRJNA257197,SRS908712
SRR1972682,PRJNA257197,SRS908714
SRR1972681,PRJNA257197,SRS908713
SRR1972680,PRJNA257197,SRS908715
SRR1972679,PRJNA257197,SRS908716
SRR1972678,PRJNA257197,SRS908717
SRR1972677,PRJNA257197,SRS908718
SRR1972672,PRJNA257197,SRS908724
SRR1972673,PRJNA257197,SRS908722
SRR1972674,PRJNA257197,SRS908721
SRR1972675,PRJNA257197,SRS908720
SRR1972676,PRJNA257197,SRS908719
SRR1972670,PRJNA257197,SRS908723
SRR1972671,PRJNA257197,SRS908725
SRR1972669,PRJNA257197,SRS908726
SRR1972668,PRJNA257197,SRS908727
SRR1972667,PRJNA257197,SRS908728
SRR1972666,PRJNA257197,SRS908729
SRR1972664,PRJNA257197,SRS908730
SRR1972665,PRJNA257197,SRS908731
SRR1972662,PRJNA257197,SRS908732
SRR1972663,PRJNA257197,SRS908733
SRR1972661,PRJNA257197,SRS908734
SRR1972660,PRJNA257197,SRS908735
SRR1972659,PRJNA257197,SRS908736
SRR1972658,PRJNA257197,SRS908737
SRR1972657,PRJNA257197,SRS908738
SRR1972652,PRJNA257197,SRS908743
SRR1972653,PRJNA257197,SRS908742
SRR1972654,PRJNA257197,SRS908741
SRR1972655,PRJNA257197,SRS908740
SRR1972656,PRJNA257197,SRS908739
SRR1972651,PRJNA257197,SRS908744
SRR1972649,PRJNA257197,SRS908745
SRR1972650,PRJNA257197,SRS908746
SRR1972648,PRJNA257197,SRS908747
SRR1972647,PRJNA257197,SRS908748
SRR1972642,PRJNA257197,SRS908752
SRR1972643,PRJNA257197,SRS804043
SRR1972644,PRJNA257197,SRS908751
SRR1972645,PRJNA257197,SRS908750
SRR1972646,PRJNA257197,SRS908749
SRR1972637,PRJNA257197,SRS908756
SRR1972638,PRJNA257197,SRS908754
SRR1972639,PRJNA257197,SRS908755
SRR1972640,PRJNA257197,SRS803956
SRR1972641,PRJNA257197,SRS908753
SRR1972636,PRJNA257197,SRS908757
SRR1972635,PRJNA257197,SRS908758
SRR1972634,PRJNA257197,SRS908759
SRR1972633,PRJNA257197,SRS908760
SRR1972632,PRJNA257197,SRS908761
SRR1972627,PRJNA257197,SRS804031
SRR1972631,PRJNA257197,SRS908762
SRR1972630,PRJNA257197,SRS908763
SRR1972629,PRJNA257197,SRS908764
SRR1972628,PRJNA257197,SRS908765
SRR1972626,PRJNA257197,SRS803920
SRR1972625,PRJNA257197,SRS908766
SRR1972624,PRJNA257197,SRS908767
SRR1972623,PRJNA257197,SRS908768
SRR1972622,PRJNA257197,SRS908769
SRR1972617,PRJNA257197,SRS803792
SRR1972620,PRJNA257197,SRS908770
SRR1972621,PRJNA257197,SRS908771
SRR1972619,PRJNA257197,SRS908772
SRR1972618,PRJNA257197,SRS908773
SRR1972613,PRJNA257197,SRS803838
SRR1972615,PRJNA257197,SRS804016
SRR1972612,PRJNA257197,SRS804022
SRR1972616,PRJNA257197,SRS908774
SRR1972614,PRJNA257197,SRS908775
SRR1972609,PRJNA257197,SRS803831
SRR1972611,PRJNA257197,SRS908776
SRR1972610,PRJNA257197,SRS908777
SRR1972608,PRJNA257197,SRS908778
SRR1972607,PRJNA257197,SRS908779
SRR1972605,PRJNA257197,SRS908780
SRR1972606,PRJNA257197,SRS908781
SRR1972604,PRJNA257197,SRS908782
SRR1972603,PRJNA257197,SRS908783
SRR1972602,PRJNA257197,SRS908785
SRR1735261,PRJNA257197,SRS804041
SRR1735262,PRJNA257197,SRS804042
SRR1735263,PRJNA257197,SRS804043
SRR1735265,PRJNA257197,SRS804044
SRR1735264,PRJNA257197,SRS804045
SRR1735258,PRJNA257197,SRS804038
SRR1735260,PRJNA257197,SRS804040
SRR1735259,PRJNA257197,SRS804039
SRR1735257,PRJNA257197,SRS804037
SRR1735256,PRJNA257197,SRS804036
SRR1735251,PRJNA257197,SRS804031
SRR1735254,PRJNA257197,SRS804035
